Citizen_ID,District,Age,Gender,Community,Annual_Income,Ration_Card_Type,Education_Level,Occupation,Land_Holding_Acres,Marital_Status,Disability_Status,SHG_Member,Eligible_Scheme
TN-KAN-183555,Kanyakumari,65,Male,MBC,51266,AAY,Graduate,Unemployed,0,Single,0,0,Indira Gandhi National Old Age Pension
TN-DIN-147976,Dindigul,59,Female,BC,75479,PHH,12th Pass,Unemployed,0,Married,0,0,Not Eligible / General Public
TN-RAM-689418,Ramanathapuram,25,Female,SC,42462,PHH,10th Pass,Daily Wage,0,Married,0,0,Kalaignarin Kanavu Illam (Housing)
TN-VIR-476314,Virudhunagar,22,Male,BC,37509,PHH,10th Pass,Daily Wage,0,Separated,0,0,MGNREGS (100 Days Rural Employment)
TN-SIV-319895,Sivaganga,72,Male,SC,49276,PHH,10th Pass,Unemployed,0,Married,0,0,Indira Gandhi National Old Age Pension
TN-VIR-753118,Virudhunagar,72,Female,SC,78868,PHH,8th Pass,Unemployed,0,Widow,0,1,Destitute Widow Pension Scheme
TN-TIR-681931,Tirunelveli,75,Male,BC,49968,PHH,12th Pass,Unemployed,0,Widow,0,0,Indira Gandhi National Old Age Pension
TN-KAN-609904,Kanyakumari,41,Male,MBC,109565,PHH,10th Pass,Unemployed,0,Married,0,0,Not Eligible / General Public
TN-TIR-486175,Tirunelveli,54,Male,SC,97634,PHH,12th Pass,Agriculture,0.6,Married,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-RAM-124315,Ramanathapuram,28,Female,BC,61114,PHH,Diploma,Daily Wage,0,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-RAM-324715,Ramanathapuram,63,Female,BC,30743,PHH,12th Pass,Daily Wage,0,Married,0,1,Indira Gandhi National Old Age Pension
TN-DIN-161721,Dindigul,74,Female,MBC,60552,PHH,12th Pass,Unemployed,0,Widow,0,0,Destitute Widow Pension Scheme
TN-SIV-692483,Sivaganga,68,Female,MBC,49633,PHH,10th Pass,Unemployed,0,Widow,0,0,Destitute Widow Pension Scheme
TN-TIR-269667,Tirunelveli,49,Female,MBC,63058,PHH,10th Pass,Weaver,0,Married,0,0,Not Eligible / General Public
TN-SIV-146668,Sivaganga,75,Male,MBC,212116,NPHH,10th Pass,Unemployed,0,Widow,0,0,Not Eligible / General Public
TN-TIR-718430,Tirunelveli,70,Female,MBC,28575,PHH,8th Pass,Unemployed,0,Married,0,1,Indira Gandhi National Old Age Pension
TN-TIR-354870,Tirunelveli,38,Male,BC,52594,AAY,10th Pass,Agriculture,3.2,Married,1,0,Differently Abled Pension Scheme
TN-TEN-773842,Tenkasi,21,Male,BC,69758,PHH,8th Pass,Student,0,Married,0,0,Not Eligible / General Public
TN-DIN-662636,Dindigul,18,Male,SC,72680,PHH,Illiterate,Student,0,Single,0,0,Not Eligible / General Public
TN-DIN-835079,Dindigul,75,Female,SC,16520,AAY,10th Pass,Unemployed,0,Widow,1,0,Differently Abled Pension Scheme
TN-RAM-584896,Ramanathapuram,19,Female,General,218201,NPHH,8th Pass,Student,0,Single,0,0,Not Eligible / General Public
TN-RAM-348998,Ramanathapuram,47,Male,BC,93146,PHH,10th Pass,Daily Wage,0,Single,0,0,MGNREGS (100 Days Rural Employment)
TN-DIN-646717,Dindigul,64,Male,BC,16193,PHH,12th Pass,Agriculture,2,Married,0,0,Indira Gandhi National Old Age Pension
TN-THO-115429,Thoothukudi,31,Female,General,25499,PHH,10th Pass,Weaver,0,Married,0,0,Not Eligible / General Public
TN-THE-801524,Theni,54,Female,BC,26858,PHH,Illiterate,Agriculture,0.9,Married,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-VIR-529284,Virudhunagar,33,Female,BC,64180,PHH,10th Pass,Daily Wage,0,Single,0,1,Mahalir Thittam (SHG Loan Scheme)
TN-TIR-701174,Tirunelveli,70,Female,MBC,29037,PHH,Illiterate,Unemployed,0,Married,0,1,Indira Gandhi National Old Age Pension
TN-KAN-859923,Kanyakumari,24,Male,ST,48549,PHH,8th Pass,Agriculture,2.2,Separated,0,0,Uzhavar Pathukappu Thittam (Marginal Farmer)
TN-KAN-846904,Kanyakumari,50,Female,MBC,45269,PHH,Diploma,Self-Employed,0,Married,0,0,Not Eligible / General Public
